10313 | 24-SEP-1996 | 2 | Cunewalde |  | 01307 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                            
10345 | 04-NOV-1996 | 2 | Cunewalde |  | 01307 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                            
10346 | 05-NOV-1996 | 3 | Albuquerque | NM | 87110 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                            
10347 | 06-NOV-1996 | 3 | S??o Paulo | SP | 05442-030 | Brazil                                                                                                                                                                                                                                                                                                                                                                                                                                                      
10348 | 07-NOV-1996 | 2 | Stuttgart |  | 70563 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                            
10349 | 08-NOV-1996 | 1 | Lander | WY | 82520 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10350 | 11-NOV-1996 | 2 | Toulouse |  | 31000 | France                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10351 | 11-NOV-1996 | 1 | Graz |  | 8010 | Austria                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10352 | 12-NOV-1996 | 3 | Lisboa |  | 1675 | Portugal                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10353 | 13-NOV-1996 | 3 | Salzburg |  | 5020 | Austria                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10354 | 14-NOV-1996 | 3 | M??xico D.F. |  | 05033 | Mexico                                                                                                                                                                                                                                                                                                                                                                                                                                                          
10355 | 15-NOV-1996 | 1 | Colchester | Essex | CO7 6JX | UK                                                                                                                                                                                                                                                                                                                                                                                                                                                         
10356 | 18-NOV-1996 | 2 | Stuttgart |  | 70563 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                            
10357 | 19-NOV-1996 | 3 | Barquisimeto | Lara | 3508 | Venezuela                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10358 | 20-NOV-1996 | 1 | Toulouse |  | 31000 | France                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10359 | 21-NOV-1996 | 3 | London |  | OX15 4NB | UK                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10360 | 22-NOV-1996 | 3 | Strasbourg |  | 67000 | France                                                                                                                                                                                                                                                                                                                                                                                                                                                            
10361 | 22-NOV-1996 | 2 | Cunewalde |  | 01307 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                            
10362 | 25-NOV-1996 | 1 | Marseille |  | 13008 | France                                                                                                                                                                                                                                                                                                                                                                                                                                                             
10363 | 26-NOV-1996 | 3 | Aachen |  | 52066 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10364 | 26-NOV-1996 | 1 | London |  | WX3 6FW | UK                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10365 | 27-NOV-1996 | 2 | M??xico D.F. |  | 05023 | Mexico                                                                                                                                                                                                                                                                                                                                                                                                                                                          
10366 | 28-NOV-1996 | 2 | Barcelona |  | 8022 | Spain                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10367 | 28-NOV-1996 | 3 | ??rhus |  | 8200 | Denmark                                                                                                                                                                                                                                                                                                                                                                                                                                                                
10368 | 29-NOV-1996 | 2 | Graz |  | 8010 | Austria                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10369 | 02-DEC-1996 | 2 | Lander | WY | 82520 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10370 | 03-DEC-1996 | 2 | Bern |  | 3012 | Switzerland                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10371 | 03-DEC-1996 | 1 | Toulouse |  | 31000 | France                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10372 | 04-DEC-1996 | 2 | S??o Paulo | SP | 05487-020 | Brazil                                                                                                                                                                                                                                                                                                                                                                                                                                                      
10939 | 10-MAR-1998 | 2 | Bergamo |  | 24100 | Italy                                                                                                                                                                                                                                                                                                                                                                                                                                                                
10940 | 11-MAR-1998 | 3 | Marseille |  | 13008 | France                                                                                                                                                                                                                                                                                                                                                                                                                                                             
10941 | 11-MAR-1998 | 2 | Boise | ID | 83720 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10373 | 05-DEC-1996 | 3 | Cork | Co. Cork |  | Ireland                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10374 | 05-DEC-1996 | 3 | Warszawa |  | 01-012 | Poland                                                                                                                                                                                                                                                                                                                                                                                                                                                             
10375 | 06-DEC-1996 | 2 | Elgin | OR | 97827 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10376 | 09-DEC-1996 | 2 | Montr??al | Qu??bec | H1J 1C3 | Canada                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10377 | 09-DEC-1996 | 3 | London |  | OX15 4NB | UK                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10378 | 10-DEC-1996 | 3 | Br??cke |  | S-844 67 | Sweden                                                                                                                                                                                                                                                                                                                                                                                                                                                            
10379 | 11-DEC-1996 | 1 | Rio de Janeiro | RJ | 02389-673 | Brazil                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10380 | 12-DEC-1996 | 3 | Cork | Co. Cork |  | Ireland                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10381 | 12-DEC-1996 | 3 | Barquisimeto | Lara | 3508 | Venezuela                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10382 | 13-DEC-1996 | 1 | Graz |  | 8010 | Austria                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10383 | 16-DEC-1996 | 3 | Colchester | Essex | CO7 6JX | UK                                                                                                                                                                                                                                                                                                                                                                                                                                                         
10384 | 16-DEC-1996 | 3 | Lule?? |  | S-958 22 | Sweden                                                                                                                                                                                                                                                                                                                                                                                                                                                             
10385 | 17-DEC-1996 | 2 | Lander | WY | 82520 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10386 | 18-DEC-1996 | 3 | S??o Paulo | SP | 05442-030 | Brazil                                                                                                                                                                                                                                                                                                                                                                                                                                                      
10387 | 18-DEC-1996 | 2 | Stavern |  | 4110 | Norway                                                                                                                                                                                                                                                                                                                                                                                                                                                                
10388 | 19-DEC-1996 | 1 | London |  | OX15 4NB | UK                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10389 | 20-DEC-1996 | 2 | Tsawassen | BC | T2F 8M4 | Canada                                                                                                                                                                                                                                                                                                                                                                                                                                                         
10390 | 23-DEC-1996 | 1 | Graz |  | 8010 | Austria                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10391 | 23-DEC-1996 | 3 | Aachen |  | 52066 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10392 | 24-DEC-1996 | 3 | Salzburg |  | 5020 | Austria                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10393 | 25-DEC-1996 | 3 | Boise | ID | 83720 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10394 | 25-DEC-1996 | 3 | Elgin | OR | 97827 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10395 | 26-DEC-1996 | 1 | San Crist??bal | T??chira | 5022 | Venezuela                                                                                                                                                                                                                                                                                                                                                                                                                                              
10396 | 27-DEC-1996 | 3 | M??nchen |  | 80805 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                             
10397 | 27-DEC-1996 | 1 | Lisboa |  | 1756 | Portugal                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10398 | 30-DEC-1996 | 3 | Boise | ID | 83720 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10399 | 31-DEC-1996 | 3 | ??rhus |  | 8200 | Denmark                                                                                                                                                                                                                                                                                                                                                                                                                                                                
