10853 | 18 | 6 | 9 | 62.5 | 10 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10854 | 10 | 20 | 3 | 31 | 100 | .15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
10854 | 13 | 20 | 3 | 6 | 65 | .15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10855 | 16 | 55 | 3 | 17.45 | 50 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
10855 | 56 | 55 | 3 | 38 | 24 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10855 | 65 | 55 | 3 | 21.05 | 15 | .15                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10856 | 2 | 3 | 3 | 19 | 20 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10856 | 42 | 3 | 3 | 14 | 20 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10857 | 3 | 5 | 8 | 10 | 30 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10857 | 29 | 5 | 8 | 123.79 | 10 | .25                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10858 | 7 | 40 | 2 | 30 | 5 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10858 | 27 | 40 | 2 | 43.9 | 10 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10858 | 70 | 40 | 2 | 15 | 4 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10859 | 24 | 25 | 1 | 4.5 | 40 | .25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
10859 | 64 | 25 | 1 | 33.25 | 30 | .25                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10860 | 51 | 26 | 3 | 53 | 3 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10860 | 76 | 26 | 3 | 18 | 20 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10861 | 17 | 89 | 4 | 39 | 42 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10861 | 18 | 89 | 4 | 62.5 | 20 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10861 | 33 | 89 | 4 | 2.5 | 35 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10861 | 62 | 89 | 4 | 49.3 | 3 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10862 | 11 | 44 | 8 | 21 | 25 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10862 | 52 | 44 | 8 | 7 | 8 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10863 | 58 | 35 | 4 | 13.25 | 12 | .15                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10864 | 35 | 4 | 4 | 18 | 4 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10864 | 67 | 4 | 4 | 14 | 15 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10865 | 38 | 63 | 2 | 263.5 | 60 | .05                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10865 | 39 | 63 | 2 | 18 | 80 | .05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10866 | 24 | 5 | 5 | 4.5 | 6 | .25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10866 | 30 | 5 | 5 | 25.89 | 40 | .25                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10867 | 53 | 48 | 6 | 32.8 | 3 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10868 | 26 | 62 | 7 | 31.23 | 20 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
10868 | 35 | 62 | 7 | 18 | 30 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10869 | 1 | 72 | 5 | 18 | 40 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10869 | 11 | 72 | 5 | 21 | 10 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10869 | 23 | 72 | 5 | 9 | 50 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10869 | 68 | 72 | 5 | 12.5 | 20 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10870 | 51 | 91 | 5 | 53 | 2 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10871 | 6 | 9 | 9 | 25 | 50 | .05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10871 | 16 | 9 | 9 | 17.45 | 12 | .05                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10871 | 17 | 9 | 9 | 39 | 16 | .05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10872 | 55 | 30 | 5 | 24 | 10 | .05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10872 | 64 | 30 | 5 | 33.25 | 15 | .05                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10872 | 65 | 30 | 5 | 21.05 | 21 | .05                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10873 | 21 | 90 | 4 | 10 | 20 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10873 | 28 | 90 | 4 | 45.6 | 3 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10874 | 10 | 30 | 5 | 31 | 10 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10875 | 47 | 5 | 4 | 9.5 | 21 | .1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10875 | 49 | 5 | 4 | 20 | 15 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10876 | 46 | 9 | 7 | 12 | 21 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10876 | 64 | 9 | 7 | 33.25 | 20 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
